date,Lottery_result,year,Num,5year,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,max
2018/5/22,531,2018,098,3,1,0,0,0,2,,,,,,
2018/5/23,393,2018,099,1,0,0,0,1,0,,,,,,
2018/5/24,496,2018,100,1,1,0,0,0,0,,,,,,
2018/5/25,535,2018,101,0,0,0,0,0,0,,,,,,
2018/5/28,513,2018,102,0,0,0,0,0,0,,,,,,
2018/5/29,797,2018,103,0,0,0,0,0,0,,,,,,
2018/5/30,648,2018,104,0,0,0,0,0,0,,,,,,
2018/5/31,319,2018,105,1,1,0,0,0,0,,,,,,
2018/6/1,669,2018,106,1,0,0,0,0,1,,,,,,
2018/6/4,173,2018,107,0,0,0,0,0,0,,,,,,
2018/6/5,269,2018,108,2,0,0,1,1,0,,,,,,
2018/6/6,557,2018,109,3,1,0,1,1,0,,,,,,
2018/6/7,653,2018,110,0,0,0,0,0,0,,,,,,
2018/6/8,137,2018,111,0,0,0,0,0,0,,,,,,
2018/6/11,413,2018,112,2,0,0,1,0,1,,,,,,
2018/6/12,193,2018,113,2,0,1,1,0,0,,,,,,
2018/6/13,642,2018,114,2,0,0,0,1,1,,,,,,
2018/6/14,487,2018,115,2,2,0,0,0,0,,,,,,
2018/6/15,765,2018,116,0,0,0,0,0,0,,,,,,
2018/6/18,119,2018,117,1,0,0,0,1,0,,,,,,
2018/6/19,182,2018,118,6,2,1,1,1,1,,,,,,
2018/6/20,912,2018,119,2,2,0,0,0,0,,,,,,
2018/6/21,18,2018,120,0,0,0,0,0,0,,,,,,
2018/6/22,1,2018,121,0,0,0,0,0,0,,,,,,
2018/6/25,549,2018,122,1,1,0,0,0,0,,,,,,
2018/6/26,256,2018,123,4,1,1,1,0,1,,,,,,
2018/6/27,32,2018,124,1,0,0,0,0,1,,,,,,
2018/6/28,751,2018,125,2,0,0,0,0,2,,,,,,
2018/6/29,349,2018,126,1,0,0,0,1,0,,,,,,
2018/7/2,193,2018,127,0,0,0,0,0,0,,,,,,
2018/7/3,489,2018,128,1,0,0,0,1,0,,,,,,
2018/7/4,901,2018,129,2,0,1,1,0,0,,,,,,
2018/7/5,668,2018,130,3,0,0,2,1,0,,,,,,
2018/7/6,870,2018,131,3,2,0,0,1,0,,,,,,
2018/7/9,61,2018,132,2,1,0,1,0,0,,,,,,
2018/7/10,625,2018,133,2,0,1,0,0,1,,,,,,
