date,Lottery_result
2019-05-21,193
2019-05-22,522
2019-05-23,381
2019-05-24,682
2019-05-27,718
2019-05-28,77
2019-05-29,779
2019-05-30,731
2019-05-31,943
2019-06-03,383
2019-06-04,755
2019-06-05,342
2019-06-06,856
2019-06-07,397
2019-06-10,814
2019-06-11,80
2019-06-12,246
2019-06-13,560
2019-06-14,683
2019-06-17,226
2019-06-18,55
2019-06-19,377
2019-06-20,942
2019-06-21,180
2019-06-24,11
2019-06-25,957
2019-06-26,720
2019-06-27,928
2019-06-28,202
2019-07-01,937
2019-07-02,214
2019-07-03,297
2019-07-04,951
2019-07-05,782
2019-07-08,458
2019-07-09,739
2019-07-10,763
2019-07-11,736
2019-07-12,273
2019-07-15,47
2019-07-16,502
2019-07-17,42
2019-07-18,808
2019-07-19,503
2019-07-22,60
2019-07-23,463
2019-07-24,799
2019-07-25,64
2019-07-26,519
2019-07-29,477
2019-07-30,195
2019-07-31,980
2019-08-01,79
2019-08-02,791
2019-08-05,687
2019-08-06,912
2019-08-07,975
2019-08-08,859
2019-08-09,613
2019-08-12,596
2019-08-13,426
2019-08-14,882
2019-08-15,557
2019-08-16,254
2019-08-19,9
2019-08-20,554
2019-08-21,430
2019-08-22,297
2019-08-23,633
2019-08-26,848
2019-08-27,680
2019-08-28,246
2019-08-29,856
2019-08-30,43
2019-09-02,971
2019-09-03,874
2019-09-04,12
2019-09-05,773
2019-09-06,489
2019-09-09,32
2019-09-10,557
2019-09-11,169
2019-09-12,304
2019-09-13,910
2019-09-16,133
2019-09-17,323
2019-09-18,786
2019-09-19,583
2019-09-20,240
2019-09-23,825
2019-09-24,69
2019-09-25,665
2019-09-26,876
2019-09-27,286
2019-09-30,766
2019-10-01,597
2019-10-02,715
2019-10-03,635
2019-10-04,705
2019-10-07,902
2019-10-08,764
2019-10-09,361
2019-10-10,191
2019-10-11,207
2019-10-14,163
2019-10-15,393
2019-10-16,984
2019-10-17,814
2019-10-18,776
2019-10-21,808
2019-10-22,158
2019-10-23,822
2019-10-24,530
2019-10-25,175
2019-10-28,762
2019-10-29,716
2019-10-30,920
2019-10-31,134
2019-11-01,317
2019-11-04,465
2019-11-05,601
2019-11-06,219
2019-11-07,612
2019-11-08,153
2019-11-11,544
2019-11-12,961
2019-11-13,828
2019-11-14,831
2019-11-15,818
2019-11-18,275
2019-11-19,695
2019-11-20,363
2019-11-21,204
2019-11-22,94
2019-11-25,962
2019-11-26,118
2019-11-27,565
2019-11-28,491
2019-11-29,339
2019-12-02,448
2019-12-03,242
2019-12-04,895
2019-12-05,340
2019-12-06,694
2019-12-09,869
2019-12-10,436
2019-12-11,247
2019-12-12,844
2019-12-13,865
2019-12-16,491
2019-12-17,392
2019-12-18,626
2019-12-19,680
2019-12-20,325
2019-12-23,349
2019-12-24,79
2019-12-25,113
2019-12-26,914
2019-12-27,475
2019-12-30,721
2020-01-06,887
2020-01-07,109
2020-01-08,527
2020-01-09,409
2020-01-10,785
2020-01-13,705
2020-01-14,428
2020-01-15,565
2020-01-16,592
2020-01-17,626
2020-01-20,485
2020-01-21,69
2020-01-22,444
2020-01-23,366
2020-01-24,629
2020-01-27,345
2020-01-28,2
2020-01-29,312
2020-01-30,472
2020-01-31,436
2020-02-03,272
2020-02-04,514
2020-02-05,108
2020-02-06,577
2020-02-07,433
2020-02-10,516
