,x
799,8
800,6
801,0
802,7
803,7
804,0
805,9
806,1
807,1
808,8
809,3
810,9
811,2
812,2
813,9
814,2
815,9
816,8
817,0
818,8
819,5
820,7
821,7
822,3
823,6
824,8
825,3
826,9
827,0
828,3
829,8
830,5
831,0
832,5
833,5
834,9
835,6
836,9
837,4
838,0
839,7
840,6
841,6
842,1
843,1
844,6
845,0
846,6
847,7
848,5
849,2
850,1
851,7
852,1
853,0
854,5
855,7
856,0
857,9
858,4
859,7
860,4
861,0
862,8
863,7
864,2
865,9
866,8
867,6
868,2
869,8
870,1
871,1
872,0
873,3
874,5
875,6
876,2
877,4
878,1
879,9
880,6
881,2
882,1
883,8
884,7
885,7
886,6
887,9
888,1
889,5
890,0
891,7
892,3
893,4
894,8
895,1
896,0
897,4
898,7
899,3
900,4
901,7
902,5
903,6
904,8
905,7
906,2
907,7
908,2
909,7
910,9
911,0
912,4
913,9
914,8
915,7
916,3
917,3
918,5
919,6
920,7
921,7
922,2
923,2
924,6
925,3
926,1
927,4
928,5
929,2
930,7
931,7
932,7
933,6
934,1
935,0
936,8
937,1
938,8
939,7
940,9
941,4
942,4
943,3
944,5
945,9
946,0
947,5
948,0
949,5
950,9
951,9
952,0
953,4
954,0
955,6
956,7
957,7
958,1
959,7
960,9
961,2
962,2
963,2
964,6
965,6
966,9
967,8
968,0
969,6
970,7
971,0
972,4
973,4
974,6
975,0
976,9
977,5
978,4
979,3
980,7
981,4
982,9
983,4
984,4
985,1
986,2
987,0
988,2
989,1
990,0
991,1
992,5
993,0
994,9
995,7
996,6
997,2
998,3
999,9
1000,8
1001,5
1002,3
1003,5
1004,4
1005,3
1006,9
1007,9
1008,8
1009,1
1010,3
1011,8
1012,0
1013,8
1014,5
1015,3
1016,5
1017,4
1018,7
1019,7
1020,0
1021,0
1022,2
1023,8
1024,3
1025,4
1026,0
1027,6
1028,5
1029,7
1030,1
1031,3
1032,9
1033,2
1034,6
1035,7
1036,9
1037,3
1038,3
1039,9
1040,5
1041,1
1042,3
1043,7
1044,5
1045,2
1046,6
1047,9
1048,9
1049,3
1050,1
1051,3
1052,1
1053,8
1054,0
1055,1
1056,3
1057,0
1058,5
1059,8
1060,9
1061,2
1062,4
1063,7
1064,0
1065,9
1066,4
1067,5
1068,8
1069,9
1070,3
1071,4
1072,7
1073,9
1074,4
1075,4
1076,3
1077,5
1078,9
1079,7
1080,5
1081,8
1082,5
1083,7
1084,5
1085,1
1086,4
1087,0
1088,9
1089,9
1090,9
1091,5
1092,5
1093,7
1094,1
1095,0
1096,1
1097,9
1098,6
1099,6
1100,3
1101,3
1102,8
1103,8
1104,4
1105,9
1106,1
1107,1
1108,0
1109,1
1110,6
1111,9
1112,1
1113,6
1114,2
1115,4
1116,9
1117,3
1118,6
1119,5
1120,2
1121,4
1122,7
1123,2
1124,6
1125,9
1126,1
1127,0
1128,6
1129,9
1130,3
1131,1
1132,9
1133,5
1134,4
1135,2
1136,7
1137,0
1138,0
1139,6
1140,7
1141,9
1142,6
1143,4
1144,2
1145,2
1146,7
1147,4
1148,5
1149,0
1150,1
1151,4
1152,3
1153,8
1154,9
1155,9
1156,0
1157,4
1158,1
1159,0
1160,6
1161,6
1162,7
1163,6
1164,6
1165,6
1166,0
1167,6
1168,9
1169,3
1170,9
1171,4
1172,9
1173,2
1174,4
1175,3
1176,2
1177,0
1178,6
1179,7
1180,8
1181,8
1182,8
1183,4
1184,5
1185,5
1186,4
1187,2
1188,8
1189,7
1190,0
1191,6
1192,2
1193,3
1194,4
1195,8
1196,0
1197,8
1198,2
1199,5
1200,9
1201,8
1202,6
1203,3
1204,3
1205,5
1206,1
1207,8
1208,0
1209,5
1210,4
1211,1
1212,3
1213,9
1214,9
1215,4
1216,2
1217,2
1218,5
1219,2
1220,2
1221,4
1222,7
1223,2
1224,1
1225,3
1226,0
1227,1
1228,4
1229,0
1230,1
1231,6
1232,6
1233,2
1234,5
1235,7
1236,8
1237,0
1238,8
1239,5
1240,0
1241,0
1242,6
1243,8
1244,8
1245,9
1246,2
1247,7
1248,0
1249,7
1250,0
1251,8
1252,0
1253,3
1254,7
1255,6
1256,6
1257,8
1258,9
1259,9
1260,5
1261,3
1262,5
1263,4
1264,4
1265,7
1266,3
1267,5
1268,9
1269,4
1270,4
1271,6
1272,7
1273,6
1274,7
1275,6
1276,6
1277,7
1278,6
1279,5
1280,4
1281,2
1282,9
1283,0
1284,3
1285,8
1286,9
1287,9
1288,1
1289,9
