No,date,day of week,Lottery_result
885,2001/7/23,Monday,307
886,2001/7/25,Wednesday,302
887,2001/7/27,Friday,672
888,2001/7/30,Monday,691
889,2001/8/1,Wednesday,139
890,2001/8/3,Friday,332
891,2001/8/6,Monday,254
892,2001/8/8,Wednesday,353
893,2001/8/10,Friday,184
894,2001/8/13,Monday,592
895,2001/8/15,Wednesday,614
896,2001/8/17,Friday,108
897,2001/8/20,Monday,55
898,2001/8/22,Wednesday,980
899,2001/8/24,Friday,350
900,2001/8/27,Monday,88
901,2001/8/29,Wednesday,694
902,2001/8/31,Friday,377
903,2001/9/3,Monday,648
904,2001/9/5,Wednesday,5
905,2001/9/7,Friday,812
906,2001/9/10,Monday,202
907,2001/9/12,Wednesday,865
908,2001/9/14,Friday,42
909,2001/9/17,Monday,116
910,2001/9/19,Wednesday,947
911,2001/9/21,Friday,972
912,2001/9/24,Monday,891
913,2001/9/26,Wednesday,524
914,2001/9/28,Friday,737
915,2001/10/1,Monday,356
916,2001/10/3,Wednesday,276
917,2001/10/5,Friday,502
918,2001/10/8,Monday,997
919,2001/10/10,Wednesday,223
920,2001/10/12,Friday,498
921,2001/10/15,Monday,315
922,2001/10/17,Wednesday,893
923,2001/10/19,Friday,232
924,2001/10/22,Monday,511
925,2001/10/24,Wednesday,971
926,2001/10/26,Friday,373
927,2001/10/29,Monday,468
928,2001/10/31,Wednesday,848
929,2001/11/2,Friday,32
930,2001/11/5,Monday,905
931,2001/11/7,Wednesday,330
932,2001/11/9,Friday,471
933,2001/11/12,Monday,337
934,2001/11/14,Wednesday,361
935,2001/11/16,Friday,304
936,2001/11/19,Monday,666
937,2001/11/21,Wednesday,865
938,2001/11/23,Friday,603
939,2001/11/26,Monday,308
940,2001/11/28,Wednesday,188
941,2001/11/30,Friday,59
942,2001/12/3,Monday,614
943,2001/12/5,Wednesday,881
944,2001/12/7,Friday,937
945,2001/12/10,Monday,19
946,2001/12/12,Wednesday,361
947,2001/12/14,Friday,220
948,2001/12/17,Monday,478
949,2001/12/19,Wednesday,788
950,2001/12/21,Friday,707
951,2001/12/24,Monday,147
952,2001/12/26,Wednesday,549
953,2001/12/28,Friday,875
954,2002/1/4,Friday,103
955,2002/1/7,Monday,845
956,2002/1/9,Wednesday,981
957,2002/1/11,Friday,533
958,2002/1/14,Monday,454
959,2002/1/16,Wednesday,911
960,2002/1/18,Friday,60
961,2002/1/21,Monday,345
962,2002/1/23,Wednesday,559
963,2002/1/25,Friday,805
964,2002/1/28,Monday,230
965,2002/1/30,Wednesday,131
966,2002/2/1,Friday,832
967,2002/2/4,Monday,715
968,2002/2/6,Wednesday,181
969,2002/2/8,Friday,950
970,2002/2/11,Monday,749
971,2002/2/13,Wednesday,147
972,2002/2/15,Friday,337
973,2002/2/18,Monday,557
974,2002/2/20,Wednesday,795
975,2002/2/22,Friday,432
976,2002/2/25,Monday,0
977,2002/2/27,Wednesday,192
978,2002/3/1,Friday,158
979,2002/3/4,Monday,11
980,2002/3/6,Wednesday,420
981,2002/3/8,Friday,250
982,2002/3/11,Monday,71
983,2002/3/13,Wednesday,727
984,2002/3/15,Friday,824
985,2002/3/18,Monday,622
986,2002/3/20,Wednesday,505
987,2002/3/22,Friday,683
988,2002/3/25,Monday,241
989,2002/3/27,Wednesday,979
990,2002/3/29,Friday,543
991,2002/4/1,Monday,505
992,2002/4/3,Wednesday,124
993,2002/4/5,Friday,393
994,2002/4/8,Monday,658
995,2002/4/10,Wednesday,312
996,2002/4/12,Friday,931
997,2002/4/15,Monday,168
998,2002/4/17,Wednesday,851
999,2002/4/19,Friday,189
1000,2002/4/22,Monday,165
1001,2002/4/24,Wednesday,828
1002,2002/4/26,Friday,324
1003,2002/4/29,Monday,241
1004,2002/5/1,Wednesday,629
1005,2002/5/3,Friday,215
1006,2002/5/6,Monday,233
1007,2002/5/8,Wednesday,297
1008,2002/5/10,Friday,381
1009,2002/5/13,Monday,699
1010,2002/5/15,Wednesday,695
1011,2002/5/17,Friday,813
1012,2002/5/20,Monday,690
1013,2002/5/22,Wednesday,199
1014,2002/5/24,Friday,758
1015,2002/5/27,Monday,922
1016,2002/5/29,Wednesday,810
1017,2002/5/31,Friday,463
1018,2002/6/3,Monday,749
1019,2002/6/5,Wednesday,546
1020,2002/6/7,Friday,140
1021,2002/6/10,Monday,642
1022,2002/6/12,Wednesday,463
1023,2002/6/14,Friday,224
1024,2002/6/17,Monday,423
1025,2002/6/19,Wednesday,793
1026,2002/6/21,Friday,554
1027,2002/6/24,Monday,794
1028,2002/6/26,Wednesday,441
1029,2002/6/28,Friday,825
1030,2002/7/1,Monday,260
1031,2002/7/3,Wednesday,216
1032,2002/7/5,Friday,404
1033,2002/7/8,Monday,466
1034,2002/7/10,Wednesday,249
1035,2002/7/12,Friday,67
1036,2002/7/15,Monday,524
1037,2002/7/17,Wednesday,925
1038,2002/7/19,Friday,143
1039,2002/7/22,Monday,258
1040,2002/7/24,Wednesday,108
1041,2002/7/26,Friday,526
1042,2002/7/29,Monday,647
1043,2002/7/31,Wednesday,844
1044,2002/8/2,Friday,883
1045,2002/8/5,Monday,267
1046,2002/8/7,Wednesday,676
1047,2002/8/9,Friday,165
1048,2002/8/12,Monday,602
1049,2002/8/14,Wednesday,6
1050,2002/8/16,Friday,290
1051,2002/8/19,Monday,538
1052,2002/8/21,Wednesday,642
1053,2002/8/23,Friday,670
1054,2002/8/26,Monday,911
1055,2002/8/28,Wednesday,552
1056,2002/8/30,Friday,646
1057,2002/9/2,Monday,137
1058,2002/9/4,Wednesday,347
1059,2002/9/6,Friday,879
1060,2002/9/9,Monday,966
1061,2002/9/11,Wednesday,995
1062,2002/9/13,Friday,165
1063,2002/9/16,Monday,966
1064,2002/9/18,Wednesday,228
1065,2002/9/20,Friday,385
1066,2002/9/23,Monday,571
1067,2002/9/25,Wednesday,259
1068,2002/9/27,Friday,330
1069,2002/9/30,Monday,670
1070,2002/10/2,Wednesday,853
1071,2002/10/4,Friday,910
1072,2002/10/7,Monday,382
1073,2002/10/9,Wednesday,461
1074,2002/10/11,Friday,866
1075,2002/10/14,Monday,567
1076,2002/10/16,Wednesday,954
1077,2002/10/18,Friday,294
1078,2002/10/21,Monday,408
1079,2002/10/23,Wednesday,438
1080,2002/10/25,Friday,410
1081,2002/10/28,Monday,465
1082,2002/10/30,Wednesday,486
1083,2002/11/1,Friday,334
1084,2002/11/4,Monday,721
1085,2002/11/6,Wednesday,175
1086,2002/11/8,Friday,750
1087,2002/11/11,Monday,299
1088,2002/11/13,Wednesday,305
1089,2002/11/15,Friday,670
1090,2002/11/18,Monday,549
1091,2002/11/20,Wednesday,621
1092,2002/11/22,Friday,779
1093,2002/11/25,Monday,782
1094,2002/11/27,Wednesday,798
1095,2002/11/29,Friday,289
1096,2002/12/2,Monday,601
1097,2002/12/4,Wednesday,188
1098,2002/12/6,Friday,53
1099,2002/12/9,Monday,180
1100,2002/12/11,Wednesday,390
1101,2002/12/13,Friday,232
1102,2002/12/16,Monday,15
1103,2002/12/18,Wednesday,270
1104,2002/12/20,Friday,386
1105,2002/12/23,Monday,748
1106,2002/12/25,Wednesday,821
1107,2002/12/27,Friday,519
1108,2002/12/30,Monday,407
1109,2003/1/6,Monday,739
1110,2003/1/8,Wednesday,904
1111,2003/1/10,Friday,850
1112,2003/1/13,Monday,417
1113,2003/1/15,Wednesday,735
1114,2003/1/17,Friday,685
1115,2003/1/20,Monday,703
1116,2003/1/22,Wednesday,409
1117,2003/1/24,Friday,718
1118,2003/1/27,Monday,816
1119,2003/1/29,Wednesday,264
1120,2003/1/31,Friday,789
1121,2003/2/3,Monday,996
1122,2003/2/5,Wednesday,702
1123,2003/2/7,Friday,687
1124,2003/2/10,Monday,818
1125,2003/2/12,Wednesday,820
1126,2003/2/14,Friday,361
1127,2003/2/17,Monday,554
1128,2003/2/19,Wednesday,956
1129,2003/2/21,Friday,264
1130,2003/2/24,Monday,36
1131,2003/2/26,Wednesday,210
1132,2003/2/28,Friday,418
1133,2003/3/3,Monday,36
1134,2003/3/5,Wednesday,251
1135,2003/3/7,Friday,887
1136,2003/3/10,Monday,410
1137,2003/3/12,Wednesday,233
1138,2003/3/14,Friday,250
1139,2003/3/17,Monday,72
1140,2003/3/19,Wednesday,757
1141,2003/3/21,Friday,917
1142,2003/3/24,Monday,540
1143,2003/3/26,Wednesday,129
1144,2003/3/28,Friday,999
1145,2003/3/31,Monday,126
1146,2003/4/2,Wednesday,442
1147,2003/4/4,Friday,428
1148,2003/4/7,Monday,16
1149,2003/4/9,Wednesday,511
1150,2003/4/11,Friday,831
1151,2003/4/14,Monday,714
1152,2003/4/16,Wednesday,177
1153,2003/4/18,Friday,687
1154,2003/4/21,Monday,142
1155,2003/4/23,Wednesday,309
1156,2003/4/25,Friday,198
1157,2003/4/28,Monday,41
1158,2003/4/30,Wednesday,971
1159,2003/5/2,Friday,806
1160,2003/5/5,Monday,831
1161,2003/5/7,Wednesday,577
1162,2003/5/9,Friday,366
1163,2003/5/12,Monday,990
1164,2003/5/14,Wednesday,835
1165,2003/5/16,Friday,644
1166,2003/5/19,Monday,254
1167,2003/5/21,Wednesday,183
1168,2003/5/23,Friday,280
1169,2003/5/26,Monday,400
1170,2003/5/28,Wednesday,617
1171,2003/5/30,Friday,581
1172,2003/6/2,Monday,20
1173,2003/6/4,Wednesday,271
1174,2003/6/6,Friday,170
1175,2003/6/9,Monday,493
1176,2003/6/11,Wednesday,608
1177,2003/6/13,Friday,441
1178,2003/6/16,Monday,996
1179,2003/6/18,Wednesday,889
1180,2003/6/20,Friday,44
1181,2003/6/23,Monday,346
1182,2003/6/25,Wednesday,903
1183,2003/6/27,Friday,609
1184,2003/6/30,Monday,749
1185,2003/7/2,Wednesday,342
1186,2003/7/4,Friday,422
1187,2003/7/7,Monday,184
1188,2003/7/9,Wednesday,865
1189,2003/7/11,Friday,463
1190,2003/7/14,Monday,556
1191,2003/7/16,Wednesday,269
1192,2003/7/18,Friday,664
1193,2003/7/21,Monday,686
1194,2003/7/23,Wednesday,438
1195,2003/7/25,Friday,416
1196,2003/7/28,Monday,897
1197,2003/7/30,Wednesday,695
1198,2003/8/1,Friday,547
1199,2003/8/4,Monday,152
1200,2003/8/6,Wednesday,944
1201,2003/8/8,Friday,957
1202,2003/8/11,Monday,459
1203,2003/8/13,Wednesday,989
1204,2003/8/15,Friday,820
1205,2003/8/18,Monday,766
1206,2003/8/20,Wednesday,943
1207,2003/8/22,Friday,958
1208,2003/8/25,Monday,160
1209,2003/8/27,Wednesday,612
1210,2003/8/29,Friday,162
1211,2003/9/1,Monday,304
1212,2003/9/3,Wednesday,638
1213,2003/9/5,Friday,415
1214,2003/9/8,Monday,911
1215,2003/9/10,Wednesday,979
1216,2003/9/12,Friday,221
1217,2003/9/15,Monday,279
1218,2003/9/17,Wednesday,933
1219,2003/9/19,Friday,825
1220,2003/9/22,Monday,118
1221,2003/9/24,Wednesday,496
1222,2003/9/26,Friday,267
1223,2003/9/29,Monday,784
1224,2003/10/1,Wednesday,495
1225,2003/10/3,Friday,913
1226,2003/10/6,Monday,337
1227,2003/10/8,Wednesday,953
1228,2003/10/10,Friday,899
1229,2003/10/13,Monday,842
1230,2003/10/15,Wednesday,274
1231,2003/10/17,Friday,260
1232,2003/10/20,Monday,317
1233,2003/10/22,Wednesday,738
1234,2003/10/24,Friday,796
1235,2003/10/27,Monday,235
1236,2003/10/29,Wednesday,885
1237,2003/10/31,Friday,852
1238,2003/11/3,Monday,891
1239,2003/11/5,Wednesday,348
1240,2003/11/7,Friday,798
1241,2003/11/10,Monday,930
1242,2003/11/12,Wednesday,175
1243,2003/11/14,Friday,622
1244,2003/11/17,Monday,651
1245,2003/11/19,Wednesday,704
1246,2003/11/21,Friday,518
1247,2003/11/24,Monday,54
1248,2003/11/26,Wednesday,504
1249,2003/11/28,Friday,455
1250,2003/12/1,Monday,276
1251,2003/12/3,Wednesday,106
1252,2003/12/5,Friday,936
1253,2003/12/8,Monday,353
1254,2003/12/10,Wednesday,58
1255,2003/12/12,Friday,958
1256,2003/12/15,Monday,80
1257,2003/12/17,Wednesday,239
1258,2003/12/19,Friday,188
1259,2003/12/22,Monday,606
1260,2003/12/24,Wednesday,21
1261,2003/12/26,Friday,724
1262,2003/12/29,Monday,471
1263,2004/1/5,Monday,491
1264,2004/1/7,Wednesday,669
1265,2004/1/9,Friday,409
1266,2004/1/12,Monday,884
1267,2004/1/14,Wednesday,121
1268,2004/1/16,Friday,445
1269,2004/1/19,Monday,136
1270,2004/1/21,Wednesday,4
1271,2004/1/23,Friday,320
1272,2004/1/26,Monday,68
1273,2004/1/28,Wednesday,337
1274,2004/1/30,Friday,281
1275,2004/2/2,Monday,427
1276,2004/2/4,Wednesday,869
1277,2004/2/6,Friday,777
1278,2004/2/9,Monday,465
1279,2004/2/11,Wednesday,583
1280,2004/2/13,Friday,822
1281,2004/2/16,Monday,40
1282,2004/2/18,Wednesday,204
1283,2004/2/20,Friday,513
1284,2004/2/23,Monday,990
1285,2004/2/25,Wednesday,119
1286,2004/2/27,Friday,51
1287,2004/3/1,Monday,745
1288,2004/3/3,Wednesday,30
1289,2004/3/5,Friday,407
1290,2004/3/8,Monday,162
1291,2004/3/10,Wednesday,517
1292,2004/3/12,Friday,725
1293,2004/3/15,Monday,0
1294,2004/3/17,Wednesday,558
1295,2004/3/19,Friday,170
1296,2004/3/22,Monday,893
1297,2004/3/24,Wednesday,526
1298,2004/3/26,Friday,174
1299,2004/3/29,Monday,211
1300,2004/3/31,Wednesday,590
1301,2004/4/2,Friday,820
1302,2004/4/5,Monday,189
1303,2004/4/7,Wednesday,330
1304,2004/4/9,Friday,308
1305,2004/4/12,Monday,936
1306,2004/4/14,Wednesday,563
1307,2004/4/16,Friday,900
1308,2004/4/19,Monday,733
1309,2004/4/21,Wednesday,374
1310,2004/4/23,Friday,842
1311,2004/4/26,Monday,922
1312,2004/4/28,Wednesday,764
1313,2004/4/30,Friday,671
1314,2004/5/3,Monday,653
1315,2004/5/5,Wednesday,758
1316,2004/5/7,Friday,953
1317,2004/5/10,Monday,737
1318,2004/5/12,Wednesday,308
1319,2004/5/14,Friday,567
1320,2004/5/17,Monday,452
1321,2004/5/19,Wednesday,490
1322,2004/5/21,Friday,784
1323,2004/5/24,Monday,302
1324,2004/5/26,Wednesday,855
1325,2004/5/28,Friday,226
1326,2004/5/31,Monday,673
1327,2004/6/2,Wednesday,215
1328,2004/6/4,Friday,376
1329,2004/6/7,Monday,554
1330,2004/6/9,Wednesday,76
1331,2004/6/11,Friday,859
1332,2004/6/14,Monday,978
1333,2004/6/16,Wednesday,134
1334,2004/6/18,Friday,236
1335,2004/6/21,Monday,462
1336,2004/6/23,Wednesday,206
1337,2004/6/25,Friday,814
1338,2004/6/28,Monday,837
1339,2004/6/30,Wednesday,902
1340,2004/7/1,Thursday,597
1341,2004/7/2,Friday,670
1342,2004/7/5,Monday,543
1343,2004/7/6,Tuesday,879
1344,2004/7/7,Wednesday,342
1345,2004/7/8,Thursday,994
1346,2004/7/9,Friday,765
1347,2004/7/12,Monday,18
1348,2004/7/13,Tuesday,821
1349,2004/7/14,Wednesday,498
1350,2004/7/15,Thursday,632
1351,2004/7/16,Friday,240
1352,2004/7/19,Monday,562
1353,2004/7/20,Tuesday,931
1354,2004/7/21,Wednesday,590
1355,2004/7/22,Thursday,78
1356,2004/7/23,Friday,998
1357,2004/7/26,Monday,883
1358,2004/7/27,Tuesday,166
1359,2004/7/28,Wednesday,973
1360,2004/7/29,Thursday,109
1361,2004/7/30,Friday,223
1362,2004/8/2,Monday,286
1363,2004/8/3,Tuesday,844
1364,2004/8/4,Wednesday,843
1365,2004/8/5,Thursday,970
1366,2004/8/6,Friday,112
1367,2004/8/9,Monday,451
1368,2004/8/10,Tuesday,480
1369,2004/8/11,Wednesday,955
1370,2004/8/12,Thursday,497
1371,2004/8/13,Friday,822
1372,2004/8/16,Monday,383
1373,2004/8/17,Tuesday,611
1374,2004/8/18,Wednesday,5
1375,2004/8/19,Thursday,281
1376,2004/8/20,Friday,114
1377,2004/8/23,Monday,66
1378,2004/8/24,Tuesday,200
1379,2004/8/25,Wednesday,717
1380,2004/8/26,Thursday,983
1381,2004/8/27,Friday,558
1382,2004/8/30,Monday,601
1383,2004/8/31,Tuesday,512
1384,2004/9/1,Wednesday,525
1385,2004/9/2,Thursday,355
1386,2004/9/3,Friday,489
1387,2004/9/6,Monday,905
1388,2004/9/7,Tuesday,632
1389,2004/9/8,Wednesday,463
1390,2004/9/9,Thursday,782
1391,2004/9/10,Friday,808
1392,2004/9/13,Monday,921
1393,2004/9/14,Tuesday,190
1394,2004/9/15,Wednesday,593
1395,2004/9/16,Thursday,234
1396,2004/9/17,Friday,621
1397,2004/9/20,Monday,934
1398,2004/9/21,Tuesday,812
1399,2004/9/22,Wednesday,540
1400,2004/9/23,Thursday,522
1401,2004/9/24,Friday,206
1402,2004/9/27,Monday,374
1403,2004/9/28,Tuesday,638
1404,2004/9/29,Wednesday,804
1405,2004/9/30,Thursday,187
1406,2004/10/1,Friday,374
1407,2004/10/4,Monday,835
1408,2004/10/5,Tuesday,945
1409,2004/10/6,Wednesday,949
1410,2004/10/7,Thursday,391
1411,2004/10/8,Friday,355
1412,2004/10/11,Monday,697
1413,2004/10/12,Tuesday,620
1414,2004/10/13,Wednesday,670
1415,2004/10/14,Thursday,189
1416,2004/10/15,Friday,266
1417,2004/10/18,Monday,876
1418,2004/10/19,Tuesday,335
1419,2004/10/20,Wednesday,64
1420,2004/10/21,Thursday,499
1421,2004/10/22,Friday,490
1422,2004/10/25,Monday,945
1423,2004/10/26,Tuesday,234
1424,2004/10/27,Wednesday,353
1425,2004/10/28,Thursday,660
1426,2004/10/29,Friday,754
1427,2004/11/1,Monday,638
1428,2004/11/2,Tuesday,699
1429,2004/11/3,Wednesday,819
1430,2004/11/4,Thursday,295
1431,2004/11/5,Friday,742
1432,2004/11/8,Monday,400
1433,2004/11/9,Tuesday,638
1434,2004/11/10,Wednesday,299
1435,2004/11/11,Thursday,545
1436,2004/11/12,Friday,196
1437,2004/11/15,Monday,667
1438,2004/11/16,Tuesday,582
1439,2004/11/17,Wednesday,306
1440,2004/11/18,Thursday,684
1441,2004/11/19,Friday,798
1442,2004/11/22,Monday,94
1443,2004/11/23,Tuesday,701
1444,2004/11/24,Wednesday,65
1445,2004/11/25,Thursday,392
1446,2004/11/26,Friday,588
1447,2004/11/29,Monday,925
1448,2004/11/30,Tuesday,189
1449,2004/12/1,Wednesday,940
1450,2004/12/2,Thursday,133
1451,2004/12/3,Friday,288
1452,2004/12/6,Monday,301
1453,2004/12/7,Tuesday,966
1454,2004/12/8,Wednesday,616
1455,2004/12/9,Thursday,363
1456,2004/12/10,Friday,662
1457,2004/12/13,Monday,310
1458,2004/12/14,Tuesday,609
1459,2004/12/15,Wednesday,869
1460,2004/12/16,Thursday,377
1461,2004/12/17,Friday,279
1462,2004/12/20,Monday,799
1463,2004/12/21,Tuesday,344
1464,2004/12/22,Wednesday,82
1465,2004/12/23,Thursday,824
1466,2004/12/24,Friday,95
1467,2004/12/27,Monday,625
1468,2004/12/28,Tuesday,497
1469,2004/12/29,Wednesday,213
1470,2004/12/30,Thursday,815
1471,2005/1/4,Tuesday,902
1472,2005/1/5,Wednesday,227
1473,2005/1/6,Thursday,429
1474,2005/1/7,Friday,784
1475,2005/1/10,Monday,576
1476,2005/1/11,Tuesday,55
1477,2005/1/12,Wednesday,275
1478,2005/1/13,Thursday,137
1479,2005/1/14,Friday,536
1480,2005/1/17,Monday,809
1481,2005/1/18,Tuesday,328
1482,2005/1/19,Wednesday,423
1483,2005/1/20,Thursday,780
1484,2005/1/21,Friday,26
1485,2005/1/24,Monday,369
1486,2005/1/25,Tuesday,526
1487,2005/1/26,Wednesday,465
1488,2005/1/27,Thursday,968
1489,2005/1/28,Friday,218
1490,2005/1/31,Monday,807
1491,2005/2/1,Tuesday,287
1492,2005/2/2,Wednesday,997
1493,2005/2/3,Thursday,313
1494,2005/2/4,Friday,800
1495,2005/2/7,Monday,601
1496,2005/2/8,Tuesday,742
1497,2005/2/9,Wednesday,738
1498,2005/2/10,Thursday,754
1499,2005/2/11,Friday,196
1500,2005/2/14,Monday,453
1501,2005/2/15,Tuesday,793
1502,2005/2/16,Wednesday,556
1503,2005/2/17,Thursday,533
1504,2005/2/18,Friday,58
1505,2005/2/21,Monday,419
1506,2005/2/22,Tuesday,63
1507,2005/2/23,Wednesday,379
1508,2005/2/24,Thursday,928
1509,2005/2/25,Friday,613
1510,2005/2/28,Monday,917
1511,2005/3/1,Tuesday,212
1512,2005/3/2,Wednesday,887
1513,2005/3/3,Thursday,970
1514,2005/3/4,Friday,707
1515,2005/3/7,Monday,412
1516,2005/3/8,Tuesday,603
1517,2005/3/9,Wednesday,578
1518,2005/3/10,Thursday,266
1519,2005/3/11,Friday,384
1520,2005/3/14,Monday,680
1521,2005/3/15,Tuesday,87
1522,2005/3/16,Wednesday,776
1523,2005/3/17,Thursday,387
1524,2005/3/18,Friday,319
1525,2005/3/21,Monday,729
1526,2005/3/22,Tuesday,963
1527,2005/3/23,Wednesday,751
1528,2005/3/24,Thursday,948
1529,2005/3/25,Friday,235
1530,2005/3/28,Monday,686
1531,2005/3/29,Tuesday,857
1532,2005/3/30,Wednesday,786
1533,2005/3/31,Thursday,716
1534,2005/4/1,Friday,84
1535,2005/4/4,Monday,567
1536,2005/4/5,Tuesday,414
1537,2005/4/6,Wednesday,482
1538,2005/4/7,Thursday,507
1539,2005/4/8,Friday,215
1540,2005/4/11,Monday,350
1541,2005/4/12,Tuesday,776
1542,2005/4/13,Wednesday,43
1543,2005/4/14,Thursday,400
1544,2005/4/15,Friday,190
1545,2005/4/18,Monday,629
1546,2005/4/19,Tuesday,841
1547,2005/4/20,Wednesday,73
1548,2005/4/21,Thursday,942
1549,2005/4/22,Friday,203
1550,2005/4/25,Monday,560
1551,2005/4/26,Tuesday,788
1552,2005/4/27,Wednesday,530
1553,2005/4/28,Thursday,178
1554,2005/4/29,Friday,589
1555,2005/5/2,Monday,459
1556,2005/5/3,Tuesday,250
1557,2005/5/4,Wednesday,222
1558,2005/5/5,Thursday,781
1559,2005/5/6,Friday,614
1560,2005/5/9,Monday,973
1561,2005/5/10,Tuesday,378
1562,2005/5/11,Wednesday,453
1563,2005/5/12,Thursday,542
1564,2005/5/13,Friday,241
1565,2005/5/16,Monday,565
1566,2005/5/17,Tuesday,182
1567,2005/5/18,Wednesday,16
1568,2005/5/19,Thursday,204
1569,2005/5/20,Friday,529
1570,2005/5/23,Monday,827
1571,2005/5/24,Tuesday,660
1572,2005/5/25,Wednesday,597
1573,2005/5/26,Thursday,917
1574,2005/5/27,Friday,835
1575,2005/5/30,Monday,659
1576,2005/5/31,Tuesday,392
1577,2005/6/1,Wednesday,634
1578,2005/6/2,Thursday,363
1579,2005/6/3,Friday,327
1580,2005/6/6,Monday,42
1581,2005/6/7,Tuesday,100
1582,2005/6/8,Wednesday,920
1583,2005/6/9,Thursday,287
1584,2005/6/10,Friday,217
1585,2005/6/13,Monday,709
1586,2005/6/14,Tuesday,885
1587,2005/6/15,Wednesday,368
1588,2005/6/16,Thursday,769
1589,2005/6/17,Friday,351
1590,2005/6/20,Monday,97
1591,2005/6/21,Tuesday,671
1592,2005/6/22,Wednesday,402
1593,2005/6/23,Thursday,378
1594,2005/6/24,Friday,377
1595,2005/6/27,Monday,65
1596,2005/6/28,Tuesday,95
1597,2005/6/29,Wednesday,747
1598,2005/6/30,Thursday,395
1599,2005/7/1,Friday,332
1600,2005/7/4,Monday,146
1601,2005/7/5,Tuesday,899
1602,2005/7/6,Wednesday,885
1603,2005/7/7,Thursday,762
1604,2005/7/8,Friday,382
1605,2005/7/11,Monday,964
1606,2005/7/12,Tuesday,312
1607,2005/7/13,Wednesday,382
1608,2005/7/14,Thursday,318
1609,2005/7/15,Friday,430
1610,2005/7/18,Monday,922
1611,2005/7/19,Tuesday,441
1612,2005/7/20,Wednesday,261
1613,2005/7/21,Thursday,465
1614,2005/7/22,Friday,861
1615,2005/7/25,Monday,448
1616,2005/7/26,Tuesday,347
1617,2005/7/27,Wednesday,726
1618,2005/7/28,Thursday,720
1619,2005/7/29,Friday,319
1620,2005/8/1,Monday,424
1621,2005/8/2,Tuesday,482
1622,2005/8/3,Wednesday,943
1623,2005/8/4,Thursday,934
1624,2005/8/5,Friday,977
1625,2005/8/8,Monday,929
1626,2005/8/9,Tuesday,168
1627,2005/8/10,Wednesday,368
1628,2005/8/11,Thursday,607
1629,2005/8/12,Friday,660
1630,2005/8/15,Monday,626
1631,2005/8/16,Tuesday,755
1632,2005/8/17,Wednesday,486
1633,2005/8/18,Thursday,868
1634,2005/8/19,Friday,77
1635,2005/8/22,Monday,509
1636,2005/8/23,Tuesday,980
1637,2005/8/24,Wednesday,644
1638,2005/8/25,Thursday,451
1639,2005/8/26,Friday,501
1640,2005/8/29,Monday,787
1641,2005/8/30,Tuesday,439
1642,2005/8/31,Wednesday,60
1643,2005/9/1,Thursday,948
1644,2005/9/2,Friday,917
1645,2005/9/5,Monday,792
1646,2005/9/6,Tuesday,353
1647,2005/9/7,Wednesday,57
1648,2005/9/8,Thursday,633
1649,2005/9/9,Friday,722
1650,2005/9/12,Monday,775
1651,2005/9/13,Tuesday,839
1652,2005/9/14,Wednesday,59
1653,2005/9/15,Thursday,975
1654,2005/9/16,Friday,638
1655,2005/9/19,Monday,927
1656,2005/9/20,Tuesday,784
1657,2005/9/21,Wednesday,198
1658,2005/9/22,Thursday,896
1659,2005/9/23,Friday,823
1660,2005/9/26,Monday,554
1661,2005/9/27,Tuesday,138
1662,2005/9/28,Wednesday,783
1663,2005/9/29,Thursday,852
1664,2005/9/30,Friday,542
1665,2005/10/3,Monday,571
1666,2005/10/4,Tuesday,193
1667,2005/10/5,Wednesday,928
1668,2005/10/6,Thursday,616
1669,2005/10/7,Friday,26
1670,2005/10/10,Monday,968
1671,2005/10/11,Tuesday,175
1672,2005/10/12,Wednesday,990
1673,2005/10/13,Thursday,871
1674,2005/10/14,Friday,673
1675,2005/10/17,Monday,269
1676,2005/10/18,Tuesday,448
1677,2005/10/19,Wednesday,288
1678,2005/10/20,Thursday,775
1679,2005/10/21,Friday,650
1680,2005/10/24,Monday,832
1681,2005/10/25,Tuesday,741
1682,2005/10/26,Wednesday,237
1683,2005/10/27,Thursday,797
1684,2005/10/28,Friday,461
1685,2005/10/31,Monday,453
1686,2005/11/1,Tuesday,15
1687,2005/11/2,Wednesday,97
1688,2005/11/3,Thursday,918
1689,2005/11/4,Friday,357
1690,2005/11/7,Monday,559
1691,2005/11/8,Tuesday,180
1692,2005/11/9,Wednesday,538
1693,2005/11/10,Thursday,906
1694,2005/11/11,Friday,808
1695,2005/11/14,Monday,639
1696,2005/11/15,Tuesday,948
1697,2005/11/16,Wednesday,893
1698,2005/11/17,Thursday,533
1699,2005/11/18,Friday,47
1700,2005/11/21,Monday,844
1701,2005/11/22,Tuesday,678
1702,2005/11/23,Wednesday,469
1703,2005/11/24,Thursday,449
1704,2005/11/25,Friday,924
1705,2005/11/28,Monday,759
1706,2005/11/29,Tuesday,855
1707,2005/11/30,Wednesday,104
1708,2005/12/1,Thursday,463
1709,2005/12/2,Friday,477
1710,2005/12/5,Monday,692
1711,2005/12/6,Tuesday,803
1712,2005/12/7,Wednesday,280
1713,2005/12/8,Thursday,101
1714,2005/12/9,Friday,347
1715,2005/12/12,Monday,846
1716,2005/12/13,Tuesday,792
1717,2005/12/14,Wednesday,610
1718,2005/12/15,Thursday,161
1719,2005/12/16,Friday,257
1720,2005/12/19,Monday,28
1721,2005/12/20,Tuesday,33
1722,2005/12/21,Wednesday,863
