cols,importance,model_name,model_target
store_三浦店,0.0,tree,y_weekday
store_三鷹店,0.0,tree,y_weekday
store_上尾店,0.0,tree,y_weekday
store_上野店,0.0,tree,y_weekday
store_世田谷店,0.0,tree,y_weekday
store_中原店,0.0,tree,y_weekday
store_中店,0.0,tree,y_weekday
store_中野店,0.0,tree,y_weekday
store_久喜店,0.0,tree,y_weekday
store_九段店,0.0,tree,y_weekday
store_亀有店,0.0,tree,y_weekday
store_五反田店,0.0,tree,y_weekday
store_代々木店,0.0,tree,y_weekday
store_伊勢原店,0.0,tree,y_weekday
store_伊勢崎店,0.0,tree,y_weekday
store_墨田店,0.0,tree,y_weekday
store_大久保店,0.0,tree,y_weekday
store_東久留米店,0.0,tree,y_weekday
store_戸塚店,0.0,tree,y_weekday
store_平塚店,0.0,tree,y_weekday
store_府中店,0.0,tree,y_weekday
store_座間店,0.0,tree,y_weekday
store_志木店,0.0,tree,y_weekday
store_恵比寿店,0.0,tree,y_weekday
store_愛甲店,0.0,tree,y_weekday
store_成城店,0.0,tree,y_weekday
store_成田店,0.0,tree,y_weekday
store_我孫子店,0.0,tree,y_weekday
store_所沢店,0.0,tree,y_weekday
store_大井店,0.0,tree,y_weekday
store_新宿店,0.0,tree,y_weekday
store_新座店,0.0,tree,y_weekday
store_日立店,0.0,tree,y_weekday
store_旭店,0.0,tree,y_weekday
store_木更津店,0.0,tree,y_weekday
store_本庄店,0.0,tree,y_weekday
store_本郷店,0.0,tree,y_weekday
store_杉並店,0.0,tree,y_weekday
store_東中野店,0.0,tree,y_weekday
store_市原店,0.0,tree,y_weekday
store_巣鴨店,0.0,tree,y_weekday
store_川越店,0.0,tree,y_weekday
store_川崎店,0.0,tree,y_weekday
store_大和店,0.0,tree,y_weekday
store_大塚店,0.0,tree,y_weekday
store_大宮店,0.0,tree,y_weekday
store_大森店,0.0,tree,y_weekday
store_大泉店,0.0,tree,y_weekday
store_大田店,0.0,tree,y_weekday
store_太田店,0.0,tree,y_weekday
store_宇都宮店,0.0,tree,y_weekday
store_守谷店,0.0,tree,y_weekday
store_宮前店,0.0,tree,y_weekday
store_富岡店,0.0,tree,y_weekday
store_富津店,0.0,tree,y_weekday
store_富里店,0.0,tree,y_weekday
