cols,importance,model_name
order_fin,0.04737681680140429,RandomForest
order_delivery,0.04686432654917213,RandomForest
order_takeout,0.03721744039795752,RandomForest
order_time_15,0.03623472397125683,RandomForest
order_time_16,0.03534703139892641,RandomForest
order_time_17,0.03518555864108965,RandomForest
order_time_14,0.034359786786698,RandomForest
order_cancel,0.03411624404438019,RandomForest
order_time_13,0.03361999091655372,RandomForest
order_time_20,0.033548986781351674,RandomForest
order_time_18,0.0332520873037814,RandomForest
delta_avg,0.0329705361823847,RandomForest
order_time_19,0.032234426973017295,RandomForest
order_time_21,0.032202478275475364,RandomForest
order_time_11,0.032152773959144426,RandomForest
order_time_12,0.03194924749781576,RandomForest
store_座間店,0.0010009929722897873,RandomForest
store_木更津店,0.000854476766904607,RandomForest
store_東松山店,0.0007923159947212011,RandomForest
store_成城店,0.0007912808668832628,RandomForest
store_横浜緑店,0.0007911056563160365,RandomForest
store_狛江店,0.0007829485352837878,RandomForest
store_大久保店,0.0007784361003593,RandomForest
store_神奈川店,0.0007596287184550741,RandomForest
store_国立店,0.0007414847258403325,RandomForest
store_港南店,0.000730764261407993,RandomForest
store_西多摩店,0.0007247173124833922,RandomForest
store_荒川店,0.0007237464402273458,RandomForest
store_渋谷店,0.000723396887805338,RandomForest
store_成田店,0.0007227133433077293,RandomForest
store_熊谷店,0.0007013343534970107,RandomForest
store_恵比寿店,0.0007009689672098456,RandomForest
store_取手店,0.0006992338048284144,RandomForest
store_大田店,0.0006927914388860734,RandomForest
store_西東京店,0.0006922037247996035,RandomForest
store_北千住店,0.0006852124800318863,RandomForest
store_さいたま緑店,0.0006790415225293151,RandomForest
store_日立店,0.0006727549867059879,RandomForest
store_府中店,0.0006723363610088787,RandomForest
store_足柄上店,0.0006719539072590807,RandomForest
store_東大和店,0.0006716550659512468,RandomForest
store_旭店,0.0006698312540990506,RandomForest
store_小平店,0.0006694312314354894,RandomForest
store_葛飾店,0.0006664172837536378,RandomForest
store_自由が丘店,0.0006629157118755437,RandomForest
store_前橋店,0.0006607228332744053,RandomForest
store_九段店,0.0006605741312758282,RandomForest
store_久喜店,0.0006584803101240882,RandomForest
store_八千代店,0.0006581859666960641,RandomForest
store_多摩店,0.0006533022603008551,RandomForest
store_青梅店,0.0006522686584117814,RandomForest
store_赤坂店,0.0006479159331131938,RandomForest
store_桐生店,0.0006470219314882983,RandomForest
store_南砂店,0.0006459606473511289,RandomForest
store_浅草店,0.0006406698996382402,RandomForest
store_羽村店,0.0006363470396651475,RandomForest
store_杉並店,0.0006349719604894379,RandomForest
store_向島店,0.0006349264544248809,RandomForest
store_昭島店,0.0006294259335644837,RandomForest
store_国分寺店,0.0006197306331187838,RandomForest
store_福生店,0.0006186766897389325,RandomForest
store_東尾久店,0.0006175029598983343,RandomForest
store_日野店,0.0006149258804246291,RandomForest
store_立川店,0.0006135138321626373,RandomForest
store_富津店,0.0006101953716970667,RandomForest
store_大泉店,0.0006088276243863044,RandomForest
store_金沢店,0.0006053905038225498,RandomForest
store_松戸店,0.000604354482058658,RandomForest
store_上尾店,0.000600106686890175,RandomForest
store_狭山店,0.0005966097959962627,RandomForest
store_市川店,0.0005882919903432897,RandomForest
store_逗子店,0.0005706577285326272,RandomForest
store_茅ヶ崎店,0.00057034170335179,RandomForest
store_石神井店,0.0005697600103173203,RandomForest
store_鎌倉店,0.0005687273184656258,RandomForest
store_板橋店,0.0005674721036053525,RandomForest
store_墨田店,0.0005622138090385796,RandomForest
store_日本橋店,0.0005568396339503809,RandomForest
store_さいたま西店,0.0005555365093290201,RandomForest
store_つくば店,0.000549613639180847,RandomForest
store_大塚店,0.0005441946730463182,RandomForest
store_中店,0.0005418193891698938,RandomForest
store_宇都宮店,0.0005414130395319212,RandomForest
store_目黒店,0.0005399671787735978,RandomForest
store_亀有店,0.0005397353742235191,RandomForest
store_藤沢店,0.0005376841558606792,RandomForest
store_中野店,0.0005282737192240105,RandomForest
store_上野店,0.000525703768908951,RandomForest
store_川越店,0.0005253325429641506,RandomForest
store_伊勢原店,0.000524402903768185,RandomForest
store_入間店,0.0005197952596441406,RandomForest
store_大宮店,0.0005195238366073956,RandomForest
store_流山店,0.0005169175040551875,RandomForest
store_高座店,0.0005167796121002307,RandomForest
store_足利店,0.0005167205689300313,RandomForest
store_小田原店,0.0005158622918233935,RandomForest
store_那珂店,0.0005088941869055576,RandomForest
store_横須賀店,0.000505471522424887,RandomForest
store_浦和店,0.0005021257397431596,RandomForest
store_品川店,0.0004999523694044915,RandomForest
store_保土ケ谷店,0.0004982350493174515,RandomForest
store_調布店,0.0004979718791916178,RandomForest
store_川口店,0.0004974471161139544,RandomForest
store_荻窪店,0.0004969000530316396,RandomForest
store_高田馬場店,0.0004847262247634504,RandomForest
store_高崎店,0.00048366058428364963,RandomForest
store_愛甲店,0.0004828653609198921,RandomForest
store_巣鴨店,0.000479281936795463,RandomForest
store_鶴見店,0.000477877815510706,RandomForest
store_代々木店,0.00047655509600374416,RandomForest
store_東村山店,0.00047568610148199605,RandomForest
store_王子店,0.0004731196996342746,RandomForest
store_平塚店,0.0004727400832393159,RandomForest
store_川崎多摩店,0.00046757908374197964,RandomForest
store_赤羽店,0.0004647645867222134,RandomForest
store_大森店,0.000462604303074074,RandomForest
store_羽生店,0.00046189502076459993,RandomForest
store_高島平店,0.00046083535121112506,RandomForest
store_六本木店,0.00045599341765363024,RandomForest
store_東久留米店,0.0004553618315738158,RandomForest
store_磯子店,0.00045400358177587105,RandomForest
store_伊勢崎店,0.0004527654017203571,RandomForest
store_東中野店,0.00045029877861071466,RandomForest
store_海老名店,0.0004463028103634225,RandomForest
store_戸田店,0.0004452282166922057,RandomForest
store_瀬谷店,0.00044415418804947545,RandomForest
store_銀座店,0.0004397339956801042,RandomForest
store_坂戸店,0.0004386256101510035,RandomForest
store_習志野店,0.00043544008360978234,RandomForest
store_足立店,0.00043334819078069166,RandomForest
store_新宿店,0.0004244956643552803,RandomForest
store_佐野店,0.0004220194461750126,RandomForest
store_町田店,0.00042118381450953956,RandomForest
store_鴻巣店,0.00042107869964742644,RandomForest
store_所沢店,0.00042095872636116054,RandomForest
store_泉店,0.00041793253967562947,RandomForest
store_池尻店,0.0004162909235603056,RandomForest
store_稲城店,0.0004142828909485197,RandomForest
store_幸店,0.0004141731206530876,RandomForest
store_港北店,0.00041389966697058696,RandomForest
store_春日部店,0.00041258297899399144,RandomForest
store_八潮店,0.0004119585429396961,RandomForest
store_千葉中央店,0.00040361249546472846,RandomForest
store_川崎店,0.00040160775195816095,RandomForest
store_白井店,0.0003968830002313035,RandomForest
store_武蔵村山店,0.0003958630084479064,RandomForest
store_都筑店,0.00039578953590825973,RandomForest
store_横浜南店,0.00039543667864645353,RandomForest
