No,date,day of week,Lottery_result,hundreds_place,tens_place,ones_place
145,2012/7/24,Tuesday,59,0,5,9
146,2012/7/25,Wednesday,899,8,9,9
147,2012/7/26,Thursday,506,5,0,6
148,2012/7/27,Friday,726,7,2,6
149,2012/7/30,Monday,486,4,8,6
150,2012/7/31,Tuesday,916,9,1,6
151,2012/8/1,Wednesday,568,5,6,8
152,2012/8/2,Thursday,261,2,6,1
153,2012/8/3,Friday,360,3,6,0
154,2012/8/6,Monday,55,0,5,5
155,2012/8/7,Tuesday,788,7,8,8
156,2012/8/8,Wednesday,121,1,2,1
157,2012/8/9,Thursday,343,3,4,3
158,2012/8/10,Friday,90,0,9,0
159,2012/8/13,Monday,302,3,0,2
160,2012/8/14,Tuesday,333,3,3,3
161,2012/8/15,Wednesday,430,4,3,0
162,2012/8/16,Thursday,979,9,7,9
163,2012/8/17,Friday,911,9,1,1
164,2012/8/20,Monday,689,6,8,9
165,2012/8/21,Tuesday,656,6,5,6
166,2012/8/22,Wednesday,810,8,1,0
167,2012/8/23,Thursday,514,5,1,4
168,2012/8/24,Friday,537,5,3,7
169,2012/8/27,Monday,99,0,9,9
170,2012/8/28,Tuesday,282,2,8,2
171,2012/8/29,Wednesday,887,8,8,7
172,2012/8/30,Thursday,526,5,2,6
173,2012/8/31,Friday,310,3,1,0
174,2012/9/3,Monday,458,4,5,8
175,2012/9/4,Tuesday,357,3,5,7
176,2012/9/5,Wednesday,748,7,4,8
177,2012/9/6,Thursday,988,9,8,8
178,2012/9/7,Friday,926,9,2,6
179,2012/9/10,Monday,351,3,5,1
180,2012/9/11,Tuesday,185,1,8,5
181,2012/9/12,Wednesday,441,4,4,1
182,2012/9/13,Thursday,124,1,2,4
183,2012/9/14,Friday,445,4,4,5
184,2012/9/17,Monday,784,7,8,4
185,2012/9/18,Tuesday,731,7,3,1
186,2012/9/19,Wednesday,728,7,2,8
187,2012/9/20,Thursday,49,0,4,9
188,2012/9/21,Friday,59,0,5,9
189,2012/9/24,Monday,715,7,1,5
190,2012/9/25,Tuesday,100,1,0,0
191,2012/9/26,Wednesday,466,4,6,6
192,2012/9/27,Thursday,660,6,6,0
193,2012/9/28,Friday,928,9,2,8
194,2012/10/1,Monday,274,2,7,4
195,2012/10/2,Tuesday,298,2,9,8
196,2012/10/3,Wednesday,498,4,9,8
197,2012/10/4,Thursday,116,1,1,6
198,2012/10/5,Friday,851,8,5,1
199,2012/10/8,Monday,782,7,8,2
200,2012/10/9,Tuesday,144,1,4,4
201,2012/10/10,Wednesday,42,0,4,2
202,2012/10/11,Thursday,612,6,1,2
203,2012/10/12,Friday,472,4,7,2
204,2012/10/15,Monday,63,0,6,3
205,2012/10/16,Tuesday,236,2,3,6
206,2012/10/17,Wednesday,33,0,3,3
207,2012/10/18,Thursday,662,6,6,2
208,2012/10/19,Friday,320,3,2,0
209,2012/10/22,Monday,714,7,1,4
210,2012/10/23,Tuesday,240,2,4,0
211,2012/10/24,Wednesday,341,3,4,1
212,2012/10/25,Thursday,837,8,3,7
213,2012/10/26,Friday,697,6,9,7
214,2012/10/29,Monday,480,4,8,0
215,2012/10/30,Tuesday,804,8,0,4
216,2012/10/31,Wednesday,264,2,6,4
217,2012/11/1,Thursday,778,7,7,8
218,2012/11/2,Friday,561,5,6,1
219,2012/11/5,Monday,620,6,2,0
220,2012/11/6,Tuesday,44,0,4,4
221,2012/11/7,Wednesday,85,0,8,5
222,2012/11/8,Thursday,966,9,6,6
223,2012/11/9,Friday,666,6,6,6
224,2012/11/12,Monday,781,7,8,1
225,2012/11/13,Tuesday,19,0,1,9
226,2012/11/14,Wednesday,605,6,0,5
227,2012/11/15,Thursday,495,4,9,5
228,2012/11/16,Friday,464,4,6,4
229,2012/11/19,Monday,713,7,1,3
230,2012/11/20,Tuesday,776,7,7,6
